Price Mileage Cylinder Doors Cruise Sound Leather Buick Cadillac Chevy Pontiac Saab Saturn convertible coupe hatchback sedan wagon
32746.13  7924.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
31002.73 15087.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00
28829.03 26503.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
31849.31 16956.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
31554.41 20103.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
28678.08 25380.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29961.25 20015.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
30575.25 22298.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
29914.38 22105.00     4.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00
17325.27 19894.00     4.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
16391.93 18096.00     4.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
15505.29 24239.00     4.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
15297.84 23062.00     4.00     4.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
16078.67 22779.00     4.00     4.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
16551.22 19531.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
14546.88 33374.00     4.00     4.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
37288.94 32039.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
46732.61  3625.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
47065.21  5239.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
41371.38 20000.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
39547.59 23826.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
42773.03 14546.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
36970.90 30502.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00
11203.15 27364.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
13041.87 13607.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12207.87 23512.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
11726.00 23103.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
13007.98  7372.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
11149.62 34447.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
10788.97 31436.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12570.14 22479.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
14023.94 13776.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12706.91 27521.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
11961.62 27394.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12810.91 19461.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12845.17 22382.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12897.93 23200.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
39713.67  8967.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
39875.85  7054.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
31186.74 34191.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
39365.88 11619.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
34297.31 24259.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
38990.61  9410.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
35261.44 21350.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
27370.96 24960.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
31024.87 13678.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
28502.31 27199.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
32219.59 10915.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
29595.79 16193.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
29664.70 21418.00     8.00     2.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
27548.63 26126.00     8.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12464.07 21891.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
13160.12 13145.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12832.46 20618.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12258.86 24318.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12465.51 23931.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
12828.03 19081.00     4.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
11903.10 25285.00     4.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
17750.88 25040.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18145.13 18339.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
17772.97 25052.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18348.90 23852.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
17394.02 25464.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20099.26 10036.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20698.08  2992.00     6.00     4.00     1.00     0.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19924.16 19800.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
17808.20 32896.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19774.25 23359.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20538.09 15066.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19344.17 23765.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18543.43 26034.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20512.09 16633.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
23785.92 10577.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
22358.88  8970.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21895.76 16508.00     6.00     4.00     1.00     0.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
22926.09 14363.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21058.14 24469.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19556.90 25245.00     6.00     4.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21183.12 21394.00     6.00     4.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21341.26 25212.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20986.02 27096.00     6.00     4.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21683.03 26779.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21799.17 24439.00     6.00     4.00     1.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
23447.69 15755.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
23016.01 18147.00     6.00     4.00     1.00     1.00     1.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
23547.24 16235.00     6.00     4.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
38600.24 17138.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
36154.30 25339.00     8.00     4.00     1.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
36077.80 21966.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
40335.74 14743.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
35338.65 25163.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
39307.01 16041.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
39801.55 14095.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
32537.19 41829.00     8.00     4.00     1.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
37510.25 21593.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
32954.14 36074.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
36245.16 26250.00     8.00     4.00     1.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
40856.39 12791.00     8.00     4.00     1.00     1.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
41378.05  8125.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
37215.17 22211.00     8.00     4.00     1.00     0.00     1.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
17202.83  9380.00     6.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
17675.84  5131.00     6.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
15253.87 20917.00     6.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
14703.14 23335.00     6.00     2.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
15059.13 22641.00     6.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
16792.68 12071.00     6.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
17141.94  6761.00     6.00     2.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00
19204.81 26477.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18529.34 30063.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20627.66 20770.00     6.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18158.08 28354.00     6.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19540.24 22628.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21875.10 12313.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21903.32  4537.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
15788.10 25295.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
17162.87 20829.00     6.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
16569.14 25777.00     6.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
16391.17 21304.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
15457.17 29925.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
16283.96 26511.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18254.92 16554.00     6.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
15802.65 21461.00     4.00     4.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
14396.27 31424.00     4.00     4.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
14869.28 31791.00     4.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
15568.97 18206.00     4.00     4.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
16353.10 16078.00     4.00     4.00     0.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
15730.05 21391.00     4.00     4.00     0.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
15977.91 17053.00     4.00     4.00     0.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     0.00     1.00
19646.72 21132.00     6.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
20173.91 21211.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
22100.39 12314.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
18701.22 24992.00     6.00     4.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
19448.23 27721.00     6.00     4.00     1.00     0.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21281.88 17417.00     6.00     4.00     1.00     1.00     1.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
21230.98 11229.00     6.00     4.00     1.00     1.00     0.00     0.00     0.00     0.00     1.00     0.00     0.00     0.00     0.00     0.00     1.00     0.00
